experiment_id,algorithm,type,latency_ms,path_cost
1_blocked,Dijkstra,Initial Query,2.6233000098727643,51.286957959418416
1_blocked,LPA*,Initial Query,8.383099979255348,51.286957959418416
1_recovered,Dijkstra,Initial Query,1.5370000037364662,51.286957959418416
1_recovered,LPA*,Initial Query,7.512699987273663,51.286957959418416
1_recovered,Dijkstra,Update,2.472299966029823,58.68299006942989
1_recovered,LPA*,Update,0.1669999910518527,51.286957959418416
1_recovered,Approx-APSP,Update,3.0935000395402312,58.68299006942989
2_blocked,Dijkstra,Initial Query,2.500200003851205,88.62943530114308
2_blocked,LPA*,Initial Query,4.4994999771006405,88.62943530114308
2_blocked,Dijkstra,Update,2.542099973652512,88.67556168145163
2_blocked,LPA*,Update,0.13729999773204327,88.62943530114308
2_blocked,Approx-APSP,Update,2.8483999776653945,88.67556168145163
2_recovered,Dijkstra,Initial Query,1.5647999825887382,88.62943530114308
2_recovered,LPA*,Initial Query,4.067800007760525,88.62943530114308
2_recovered,Dijkstra,Update,2.329600043594837,88.76119035896292
2_recovered,LPA*,Update,0.14049996389076114,88.62943530114308
2_recovered,Approx-APSP,Update,3.293299989309162,88.76119035896292
3_blocked,Dijkstra,Initial Query,1.9128999556414783,65.05092158560701
3_blocked,LPA*,Initial Query,6.328599993139505,65.05092158560701
3_blocked,Dijkstra,Update,2.141400007531047,65.07635552549544
3_blocked,LPA*,Update,0.1373999984934926,65.05092158560701
3_blocked,Approx-APSP,Update,2.7011000202037394,65.07635552549544
3_recovered,Dijkstra,Initial Query,2.702800033148378,65.05092158560701
3_recovered,LPA*,Initial Query,7.469100004527718,65.05092158560701
3_recovered,Dijkstra,Update,2.513199986424297,65.07635552549544
3_recovered,LPA*,Update,0.11120003182440996,65.05092158560701
3_recovered,Approx-APSP,Update,2.5502999778836966,65.07635552549544
4_blocked,Dijkstra,Initial Query,1.622700016014278,19.43752943365368
4_blocked,LPA*,Initial Query,3.3260000054724514,24.07636278379951
4_blocked,Dijkstra,Update,1.5331999748013914,20.2234145822173
4_blocked,LPA*,Update,0.7351999520324171,20.2234145822173
4_blocked,Approx-APSP,Update,1.7863999819383025,20.2234145822173
4_recovered,Dijkstra,Initial Query,1.6395000275224447,19.41209549376525
4_recovered,LPA*,Initial Query,4.704699967987835,19.41209549376525
4_recovered,Dijkstra,Update,1.6498000477440655,26.014745770014766
4_recovered,LPA*,Update,0.28769997879862785,19.41209549376525
4_recovered,Approx-APSP,Update,1.901299983728677,26.014745770014766
